F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Class
3.849,2.962,-190.5,3163.97,14.448,1775.07,1,7410.604,-13415.52,0,-1.0338,-1.46,24.821,14.174,7.422,-1381.62,6.9378,3600.24,775.9,1.9011,,True
3.6792,4.718,-177.57,1163.87,11.027628,1179.27,0,7422.872,-14671.92,1,-3.4881,-0.46,21.782,10.9442,6.8502,-1318.12,6.5613,3523.04,804.98,2.2173,,False
4.3035,2.468,-193.92,1155.93,15.231,1343.67,1,7259.7,-12901.92,1,-2.3613,-1.46,12.284,10.2526,9.352,-1318.32,5.32809,4573.64,865.67,1.377,-9.38,True
6.522,8.628,-166.548,1281.57,11.011309,877.932,1,7397.64,-11732.82,0,-1.8051,-1.46,13.075,9.8132,6.5904,-1579.72,10.698,3343.95,723.427,4.782,,False
7.65,1.0264,-197.54,954.77,11.5215,636.87,1,9476.22,-11194.44,0,-8.247,-0.46,25.762,9.3566,6.9936,-768.72,6.1404,3708.24,47.07,2.6286,-11.32,True
7.626,3.338,-171.954,1213.87,11.022816,1658.37,1,7435.778,-11439.81,0,-1.2477,-0.46,12.868,9.15954,5.30954,1031.48,7.6002,3575.44,559.87,1.2387,,True
6.813,0.58,-219.92,712.37,13.7466,689.46,1,7441.3,-11328.483,1,-2.1459,-0.46,14.754,9.6282,7.206,-958.12,5.4726,4116.84,702.41,1.6911,,True
7.416,0.5644,-162.97,290.27,11.05443,774.72,0,7554.8,-10813.92,1,-1.6392,-1.46,11.611,10.389,9.396,-1148.12,5.8566,3098.64,-665.93,4.788,-7.63,False
4.4712,4.784,-167.052,963.52,11.0646,-47.13,0,7479.2,-12433.02,1,-6.891,-1.46,19.109,10.286,6.3868,-1760.92,7.8294,3487.54,629.96,1.4925,-11.65,True
5.3982,1.423,-257.18,891.47,11.07648,872.0091,0,7415.332,-11225.61,1,-2.4909,-1.46,19.405,9.8822,6.75,-1081.12,11.826,3431.45,83.67,7.851,,True
3.52701,0.864,-173.084,1114.38,12.4149,871.374,0,7410.896,-22978.92,0,-7.455,-0.46,21.921,12.606,5.4334,-1633.18,8.7,3459.96,-323.93,4.809,-9.52,True
4.3005,0.36908,-166.86,1106.49,11.15619,655.53,0,7422.068,-15175.92,0,-3.825,-1.46,12.144,9.9388,6.4262,-2583.92,7.6092,3518.04,-6326.93,3.3018,,True
4.6557,0.5108,-174.688,1055.926,13.6482,885.759,0,7380.26,-12271.02,0,-1.905,-1.46,18.275,11.59,7.011,-1432.44,6.7674,3666.14,160.27,12.213,-10.63,False
4.7748,1.6714,-181.28,1251.67,12.4209,827.13,0,7413.79,-12978.42,1,-1.9503,-0.46,18.786,11.856,5.676,-1680.88,5.3502,3091.14,764.34,5.655,,False
9.063,2.1978,-167.866,593.17,11.0412,451.77,0,7534.26,-11171.01,0,-2.4999,-0.46,20.413,9.3806,8.37,-440.92,5.21856,6350.64,392.97,1.611,,True
5.4846,0.7708,-159.605,976.75,13.5351,-679.83,1,7623.14,-10151.52,1,-10.74,-0.46,16.0992,9.827,5.8538,-750.12,9.195,3330.24,-527.93,1.01724,,False
